month,bucket,bucket_type,tx_count
2012-01-01,220-350,sats,2021
2012-01-01,24-30,sats,95
2012-01-01,30-40,sats,362
2012-01-01,350-600,sats,1302
2012-01-01,4-6,sats,36
2012-01-01,40-50,sats,204
2012-01-01,50-60,sats,2563
2012-01-01,6-9,sats,50
2012-01-01,60-80,sats,3569
2012-01-01,600+,sats,6653
2012-01-01,80-100,sats,4064
2012-01-01,9-12,sats,59
2012-01-01,$0,usd,123994
2012-01-01,$0-$0.00005,usd,64704
2012-01-01,$0.00005-$0.00008,usd,972
2012-01-01,$0.00008-$0.0001,usd,643
2012-01-01,$0.0001-$0.00015,usd,1279
2012-01-01,$0.00015-$0.0002,usd,518
2012-01-01,$0.0002-$0.00025,usd,1264
2012-01-01,$0.00025-$0.0003,usd,1063
2012-01-01,$0.0003-$0.0004,usd,257
2012-01-01,$0.0004-$0.0005,usd,55
2012-01-01,$0.0005-$0.00065,usd,78
2012-01-01,$0.00065-$0.0009,usd,62
2012-01-01,$0.0009-$0.001,usd,10
2012-01-01,$0.001-$0.0015,usd,56
2012-01-01,$0.0015-$0.002,usd,44
2012-01-01,$0.002-$0.003,usd,57
2012-01-01,$0.003-$0.0045,usd,31
2012-01-01,$0.0045-$0.007,usd,13
2012-01-01,$0.007-$0.01,usd,9
2012-01-01,$0.01-$0.15,usd,21
2012-01-01,$0.15+,usd,2
2012-02-01,0,sats,122980
2012-02-01,0-2,sats,416
2012-02-01,100-130,sats,19774
2012-02-01,12-18,sats,131
2012-02-01,130-170,sats,610
2012-02-01,170-220,sats,38373
2012-02-01,18-24,sats,136
2012-02-01,2-4,sats,115
2012-02-01,220-350,sats,4247
2012-02-01,24-30,sats,94
2012-02-01,30-40,sats,330
2012-02-01,350-600,sats,1024
2012-02-01,4-6,sats,38
2012-02-01,40-50,sats,160
2012-02-01,50-60,sats,2455
2012-02-01,6-9,sats,60
2012-02-01,60-80,sats,3755
2012-02-01,600+,sats,5193
2012-02-01,80-100,sats,4043
2012-02-01,9-12,sats,73
2012-02-01,$0,usd,122980
2012-02-01,$0-$0.00005,usd,76196
2012-02-01,$0.00005-$0.00008,usd,1021
2012-02-01,$0.00008-$0.0001,usd,584
2012-02-01,$0.0001-$0.00015,usd,832
2012-02-01,$0.00015-$0.0002,usd,878
2012-02-01,$0.0002-$0.00025,usd,975
2012-02-01,$0.00025-$0.0003,usd,242
2012-02-01,$0.0003-$0.0004,usd,65
2012-02-01,$0.0004-$0.0005,usd,54
2012-02-01,$0.0005-$0.00065,usd,16
2012-02-01,$0.00065-$0.0009,usd,44
2012-02-01,$0.0009-$0.001,usd,10
2012-02-01,$0.001-$0.0015,usd,28
2012-02-01,$0.0015-$0.002,usd,33
2012-02-01,$0.002-$0.003,usd,22
